N.,POKÉMON,SOURCE,SPAWN,RARITY,CONDITION,FORMS
#102,Exeggcute,Cobblemon,"Jungle, Savanna, Beach",Common,,Alolan Region bias spawns in Beach
#103,Exeggutor,Cobblemon,"Jungle, Savanna, Beach",Common,,Alolan Form spawns in Beach
#104,Cubone,Cobblemon,"Badlands, Desert, Soul Sand Valley",Common,,Alolan Region bias spawns in Soul Sand Valley
#105,Marowak,Cobblemon,"Badlands, Desert, Soul Sand Valley",Common,,Alolan Form spawns in Soul Sand Valley
#106,Hitmonlee,Cobblemon,"Windswept Hills, Windswept Forests, Windswept Gravelly Hills",Uncommon,,
#107,Hitmonchan,Cobblemon,"Windswept Hills, Windswept Forests, Windswept Gravelly Hills",Uncommon,,
#108,Lickitung,Cobblemon,"All Savanna biomes, Plains",Uncommon,,
#109,Koffing,Cobblemon,"All Overworld biomes, Soul Sand Valley",Common,Night,Galarian Region bias spawns in Dark Forest during the night
#110,Weezing,Cobblemon,All Overworld biomes,Common,Night,Galarian form spawns in Dark Forest during the night
#111,Rhyhorn,Cobblemon,"Savanna, Stony Peaks, Windswept Hills, Windswept Gravelly Hills, Windswept Forest",Common,,
#112,Rhydon,Cobblemon,"Savanna, Stony Peaks, Windswept Hills, Windswept Gravelly Hills, Windswept Forest",Common,,
#113,Chansey,Cobblemon,All Overworld biomes,Rare,"Day, Near a Minecraft Village",
#114,Tangela,Cobblemon,"Jungle, Sparse Jungle",Common,Day,
#115,Kangaskhan,Cobblemon,"Savanna, Savanna Plateau",Rare,,
#116,Horsea,Cobblemon,"Deep Lukewarm Ocean, Lukewarm Ocean, Warm Ocean, Deep Ocean, Warm Ocean",Common,"Also by fishing except in Cold Ocean, Frozen Ocean",
#117,Seadra,Cobblemon,"Ocean, Deep Lukewarm Ocean, Lukewarm Ocean, Warm Ocean, Deep Ocean, Warm Ocean",Common,"Also by fishing except in Cold Ocean, Frozen Ocean",
#118,Goldeen,Cobblemon,"River, Frozen River",Common,"Also by fishing in:
Plains, Meadow, Sunflower Plains, All Forest biomes, All Jungle biomes, Swamp, Mangrove Swamp, Stony Peaks, Jagged Peaks, Snowy SLopes, Snowy Plains, Snowy Taiga, Grove",
#119,Seaking,Cobblemon,"River, Frozen River",Common,"Also by fishing in:
Plains, Meadow, Sunflower Plains, All Forest biomes, All Jungle biomes, Swamp, Mangrove Swamp, Stony Peaks, Jagged Peaks, Snowy SLopes, Snowy Plains, Snowy Taiga, Grove",
#120,Staryu,Cobblemon,"Stony Shore, Beach, Snowy Beach, All Ocean Biomes",Uncommon,Submerged or fishing,
#121,Starmie,Cobblemon,All Overworld biomes,Uncommon,Submerged or fishing,
#122,Mr.Mime,Cobblemon,All Overworld biomes,Uncommon,"Day, more common near a minecraft village","Galarian form spawns in Frozen River, Jagged Peaks, Snowy Beach, Snowy Plains, Snowy Slopes"
#123,Scyther,Cobblemon,"Meadow, Birch Forest, Oak Forest, Jungle, Bamboo Jungle, Sparse Jungle",Uncommon/Rare,Day,
#124,Jynx,Cobblemon,"Frozen River, Jagged Peaks, Snowy Beach, Snowy Plains, Snowy Slopes",Uncommon,Day,
#125,Electabuzz,Cobblemon,"Plains, Sunflower Plains, Meadow, Snowy Plains, Windswept Hills, Windswept Forest, Stony Peaks, Snowy Slopes",Uncommon,"Day, during a Storm",
#126,Magmar,Cobblemon,"Windswept Hills, Stony Peaks, Jagged Peaks, Basalt Deltas, Nether Wastes",Common,Weather Clear,
#127,Pinsir,Cobblemon,"Jungle, Sparse Jungle, Bamboo Jungle",Rare,,
#128,Tauros,Cobblemon,"Plains, Sunflower Plains",Common,Day,"Paldean forms spawns in Meadow, Windswept Hills, Jagged Peaks near Lava or Water"
#129,Magikarp,Cobblemon,"River, All Ocean biomes",Common,Also by Fishing,"Forms:
Apricot: Desert, Savanna;
Purple: Swamp;
Pink: Flower Forest, Cherry Grove;
Calico: Plains, Forests;
Blue: Dark Forest, Snowy Plains, Snowy Slopes;
Brown: Badlands
Gray: Dark Forest"
#130,Gyarados,Cobblemon,All Ocean biomes,Common,"Day, Also by Fishing",
#131,Lapras,Cobblemon,"Deep Frozen Ocean, Frozen Ocean, Deep, Cold Ocean",Uncommon,Also by Fishing,
#132,Ditto,Cobblemon,All Overworld biomes except Ocean biomes,Ultra-Rare,,
#133,Eevee,Cobblemon,"Plains, Forest, Birch Forest, Cherry Grove",Uncommon,"Day, more common inside Mansion",
#134,Vaporeon,Cobblemon,"River, Swamp, Mangrove Swamp, Dark Forest, All Forest biomes, Jungle, Sparse Jungle, Bamboo Jungle, Plains, Sunflower Plains, beach",Ultra-rare,Also by Fishing,
#135,Jolteon,Cobblemon,"Plains, Sunflower Plains, Meadow",Ultra-rare,Day,
#136,Flareon,Cobblemon,"Badlands, Eroded Badlands, Wooded Badlands, Desert",Ultra-rare,Day,
#137,Porygon,Cobblemon,The End,Uncommon,,
#138,Omanyte,Cobblemon,"Fossil: Dripstone Oasis, Enhydro Agate, Eroded Pillar, Preserved Skeleton, Sandy Den, Vibrant Hydrothermal Vents",Rare,"Hidden in Suspicious sand/gravel.
Use Resurrection Machine",Can also be found wild in the Lush Caves.
#139,Omastar,Cobblemon,Evolution from Omanyte,Rare,"Hidden in Suspicious sand/gravel.
Use Resurrection Machine",Can also be found wild in the Lush Caves.
#140,Kabuto,Cobblemon,"Fossil: Enhydro Agate, Hydrothermal Vents, Rooted Pit, Sunscorched Den, Suspicious Mound",Rare,"Hidden in Suspicious sand/gravel.
Use Resurrection Machine",Can also be found wild in the Lush Caves.
#141,Kabutops,Cobblemon,Evolution from Kabuto,Rare,"Suspicious sand/gravel
Resurrection Machine",Can also be found wild in the Lush Caves.
#142,Aerodactyl,Cobblemon,"Fossil: Frozen Pond, Lush Den, Oak Tree, Spruce Tree",Rare,"Suspicious sand/gravel.
Use Resurrection Machine",Can also be found wild in the Lush Caves.
#143,Snorlax,Cobblemon,"Snowy Grove, Snowy Taiga, Forest, Flower Forest, Birch Forest, Dark Forest, Meadow",Rare,,
#144,Articuno,Cobblemon,Snowy Plains,Ultra-Rare,"Structure:
ArticunoTower
(COBBLEVERSE)","Galarian form
spawns under
Dyna Tree during the night"
#145,Zapdos,Cobblemon,Stony Shore,Ultra-Rare,"Structure: Zapdos Tower
(COBBLEVERSE)","Galarian form
spawns under
Dyna Tree during a thunderstorm"
#146,Moltres,Cobblemon,Nether Wastes,Ultra-Rare,"Structure: Moltres Tower
(COBBLEVERSE)","Galarian form spawns under
Dyna Tree during the day"
#147,Dratini,Cobblemon,All Ocean biomes except Frozen Ocean,Rare,Structure: Ocean Ruins,
#148,Dragonair,Cobblemon,All Ocean biomesexcept Frozen Ocean,Rare,Structure: Ocean Ruins,
#149,Dragonite,Cobblemon,All Ocean biomesexcept Frozen Ocean,Rare,Structure: Ocean Ruins,
#150,Mewtwo,ATM x MSD,Savannah,Ultra-Rare,"Structure: Team Rocket Tower
(COBBLEVERSE)",
#151,Mew,MelloMons,Jungle,Ultra-Rare,"Structure: Origin Temple
(COBBLEVERSE)",
#152,Chikorita,Cobblemon,"Cherry Grove, Flower Forest, Meadow, Sunflower
Plains",Ultra-Rare,,
#153,Bayleef,Cobblemon,"Cherry Grove, Flower Forest, Meadow,
Sunflower Plains",Ultra-Rare,,
#154,Meganium,Cobblemon,"Cherry Grove, Flower Forest, Meadow,
Sunflower Plains",Ultra-Rare,,
#155,Cyndaquil,Cobblemon,"Plains, Forest, Birch Forest, Meadow",Ultra-Rare,Day,Hisuian region bias spawns in Crimson Forest and Taiga
#156,Quilava,Cobblemon,"Plains, Forest, Birch Forest, Meadow",Ultra-Rare,Day,Hisuian region bias spawns in Crimson Forest and Taiga
#157,Typhlosion,Cobblemon,"Plains, Forest, Birch Forest, Meadow",Ultra-Rare,Day,Hisuian form spawns in Taiga and Crimson Forest
#158,Totodile,Cobblemon,"Swamp, Mangrove Swamp",Ultra-Rare,Also by fishing in Jungle and Desert,
#159,Croconaw,Cobblemon,"Swamp, Mangrove Swamp",Ultra-Rare,Also by fishing in Jungle and Desert,
#160,Feraligatr,Cobblemon,"Swamp, Mangrove Swamp",Ultra-Rare,Also by fishing in Jungle and Desert,
#161,Sentret,Cobblemon,"Ice Spikes, Snowy Plains, All Taiga biomes, Plasins, Birch Forest, Meadow, River",Common,Day,
#162,Furret,MissingMons,"Ice Spikes, Snowy Plains, All Taiga biomes, Plasins, Birch Forest, Meadow, River",Common,Day,
#163,Hoothoot,Cobblemon,All Forest biomes,Common,Night,
#164,Noctowl,Cobblemon,All Forest biomes,Common,Night,
#165,Ledyba,Cobblemon,"Plains, Forest, Birch Forest, Meadow",Common,"Day, Weather Clear",
#166,Ledian,Cobblemon,"Plains, Forest, Birch Forest, Meadow",Common,"Day, Weather Clear",
#167,Spinarak,Cobblemon,"All Forest biomes All Jungle biomes, Swamp, Mangrove Swamp",Common,"Night, Weather clear",
#168,Ariados,Cobblemon,"All Forest biomes, Dark Forest, Jungle",Common,More common near a coweb with Night and weather clear,
#169,Crobat,Cobblemon,"Dark Forest, Swamp, Mangrove Swamp",Common,"Night, Weather Clear",
#170,Chinchou,Cobblemon,"Deep Ocean, Deep Frozen Ocean, Deep Cold Ocean, Deep Lukewarm Ocean
(Y=48)",Common,Also by fishing in All Ocean Biomes,
#171,Lanturn,Cobblemon,"Deep Ocean, Deep Frozen Ocean, Deep Cold Ocean, Deep Lukewarm Ocean
(Y=48)",Common,Also by fishing in All Ocean Biomes,
#172,Pichu,Cobblemon,"Flower Forest, Birch Forest, Oak Forest",Uncommon,Day,Alolan Region bias spawns in Beach during thunderstorm
#173,Cleffa,Cobblemon,"Dripstone Caves, Meadow, Grove, Windswept Hills, Windswept Forest, Windswept Gravelly Hills, Stony Peaks, Jagged Peaks",Uncommon,Night,
#174,Igglybuff,Cobblemon,"Cherry Grove, Flower Forest,
Sunflower Plains, Plains",Common,,
#175,Togepi,Cobblemon,"Meadow,
Flower Forest, Cherry Grove",Common,"Day, Weather clear",
#176,Togetic,Cobblemon,"Dark Forest, Sunflower Plains, Meadow,
Flower Forest, Cherry Grove",Common,Time-range: morning,
#177,Natu,Cobblemon,"Badlands, Savanna Plateau, Windswept Savanna",Common,Day,
#178,Xatu,Cobblemon,"Badlands, Savanna Plateau, Windswept Savanna",Common,Day,
#179,Mareep,Cobblemon,"Cherry Grove, MeadowPlains, Sunflower Plains",Common,Storm,
#180,Flaaffy,Cobblemon,"Meadow, Plains, Sunflower Plains",Common,Storm,
#181,Ampharos,Cobblemon,"Meadow, Plains, Sunflower Plains",Uncommon,Storm,
#182,Bellossom,Cobblemon,"Savanna, Jungle, Sparse Jungle, Sunflower Plains,
Meadow, Flower Forest, Cherry Grove",Common,Day,"Valencian forms spoawns in Savanna, Savanna Plateau during the day"
#183,Marill,ATM x MSD,River biomes except Frozen River,Common,"Also by fishing in: Flower Forest, Sunflower Plains, Meadow, Cherry Grove, Taiga, Forest, Birch Forest",
#184,Azumarill,ATM x MSD,River biomes except Frozen River,Uncommon,"Also by fishing in: Flower Forest, Sunflower Plains, Meadow, Cherry Grove, Taiga, Forest, Birch Forest",
#185,Sudowoodo,Cobblemon,"Birch Forest, Flower Forest, Oak Forest, Meadow",Uncommon,"Day, Weather Clear",
#186,Politoed,Cobblemon,"Swamp, Mangrove Swamp (Raining)",Common,"Also by fishing in: All Jungle biomes, Plains, Sunflower Plains, Oak Forest, Birch Forest, Lush Caves",
#187,Hoppip,Cobblemon,"Plains, Sunflower Plains",Common,"Day, Weather clear",
#188,Skiploom,Cobblemon,"Plains, Sunflower Plains",Common,"Day, Weather clear",
#189,Jumpluff,Cobblemon,"Plains, Sunflower Plains",Common,"Day, Weather clear",
#190,Aipom,Cobblemon,"Jungle, Bamboo Jungle, Sparse Jungle",Common,Day,
#191,Sunkern,Cobblemon,Sunflower Plains,Common,Day,
#192,Sunflora,Cobblemon,Sunflower Plains,Common,Day,
#193,Yanma,Cobblemon,"River, Swamp, Mangrove Swamp,
Lush Caves",Uncommon,"Day, Weather clear",
#194,Wooper,Cobblemon,"Lush Caves, Swamp, Mangrove Swamp (Rain)",Common,Also by fishing in Mushroom Fields,"Paldean form spawns in
Savanna, Badlands, Desert,"
#195,Quagsire,Cobblemon,"Lush Caves, Swamp, Mangrove Swamp (Rain)",Common,Also by fishing in Mushroom Fields,
#196,Espeon,Cobblemon,"Stony Peaks, Jagged Peaks, Frozen Peaks, Meadow, Grove, Windswept Hills, Windswept Forest",Ultra-Rare,"Day, more common near minecraft village",
#197,Umbreon,Cobblemon,Dark Forest,Ultra-Rare,Night,
#198,Murkrow,Cobblemon,"Dark Forest, Swamp, Mangrove Swamp,
All Taiga biomes",Common,Night,
#199,Slowking,Cobblemon,"Snowy Beach, Beach (Day)",Common,Also by fishing,"Galarian form spawns in
Mushroom Fields"
#200,Misdreavus,Cobblemon,"Dark Forest, Warped Forest, Swamp,
Mangrove Swamp,",Common,Night,
#201,Unown,Cobblemon,The End,Common,All letters available,
#202,Wobbuffet,Cobblemon,"Plains, Sunflower Plains",Rare,Night,
#203,Girafarig,Cobblemon,"Savanna, Savanna Plateau",Common,,
#204,Pineco,Cobblemon,All Taiga biomes,Common,Day,
#205,Forretress,Cobblemon,All Taiga biomes,Common,Day,
#206,Dunsparce,Cobblemon,Lush Caves,Rare,,
#207,Gligar,Cobblemon,"Basalt Deltas, Badlands",Common,Night,
#208,Steelix,Cobblemon,Basalt Deltas or Overworld Underground,Uncommon,,
#209,Snubbull,Cobblemon,"Plains, Sunflower Plains, Savanna, Savanna Plateau",Common,,
#210,Granbull,Cobblemon,"Plains, Sunflower Plains, Savanna, Savanna Plateau",Common,,
#211,Qwilfish,Cobblemon,"Lukewarm Ocean, Warm Ocean",Common,Also by fishing,"Hisuian form spawns in
Cold Ocean, Frozen Ocean"
#212,Scizor,Cobblemon,"Jungle, Sparse Jungle, Bamboo Jungle",Uncommon,Day,
#213,Shuckle,Cobblemon,"Lush Caves
MinY=-41
MaxY=9",Uncommon,Also by fishing,
#214,Heracross,Cobblemon,"Jungle, Sparse Jungle, Bamboo Jungle, Flower Forest, Birch Forest, Oak Forest",Rare,,
#215,Sneasel,Cobblemon,All Taiga biomes,Uncommon,Night,"Hisuian form spawns in
Meadow, Grove,
Snowy Slopes, Jagged Peaks,
Frozen Peaks, Stony Peaks"
#216,Teddiursa,Cobblemon,"All Taiga biomes, Meadow, Grove, Jagged Peaks, Stony Shore, Flower Forest, Birch Forest",Common,Y > 48,
#217,Ursaring,Cobblemon,"All Taiga biomes, Meadow, Grove, Jagged Peaks, Stony Shore, Flower Forest, Birch Forest",Common,Y > 48,
#218,Slugma,Cobblemon,"Basalt Deltas, Nether Wastes",Common,,
#219,Magcargo,Cobblemon,"Basalt Deltas, Nether Wastes",Common,,
#220,Swinub,Cobblemon,"Snowy Plains, Ice Spikes",Common,,
#221,Piloswine,Cobblemon,"Snowy Plains, Ice Spikes",Common,,
#222,Corsola,Cobblemon,Warm Ocean,Uncommon,Seafloor or fishing,"Galarian form spawns in Warm Ocean, Beach"
#223,Remoraid,Cobblemon,"Ocean, Deep Ocean, Warm Ocean, Lukewarm Ocean, Cold Ocean",Common,Also by fishing,
#224,Octillery,Cobblemon,"Ocean, Deep Ocean, Warm Ocean, Lukewarm Ocean, Cold Ocean",Common,Also by fishing,
#225,Delibird,Cobblemon,"Frozen Peaks, Jagged Peaks, Stony Peaks",Uncommon,Night,
#226,Mantine,Cobblemon,"Deep Lukewarm Ocean,
Lukewarm Ocean, Warm Ocean",Common,Also by fishing,
#227,Skarmory,Cobblemon,"Badlands, Desert",Rare,Day,
#228,Houndour,Cobblemon,"Badlands, All Nether Biomes",Common,Night,
#229,Houndoom,Cobblemon,"Badlands, All Nether Biomes",Common,Night,
